reserve0,reserve1,reserveUSD
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
544221.9337703298,544784.528198,100000000
