reserve0,reserve1,reserveUSD
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
5.734914693e-09,19086476792572.637,100000000
